V1	V(n001)	V(n002)	I(R1)
1.860000000000000e+00	1.860000e+00	1.009386e+00	1.009386e-01
1.870000000000000e+00	1.870000e+00	1.018465e+00	1.018465e-01
1.880000000000000e+00	1.880000e+00	1.027547e+00	1.027547e-01
1.890000000000000e+00	1.890000e+00	1.036632e+00	1.036632e-01
1.900000000000000e+00	1.900000e+00	1.045720e+00	1.045720e-01
1.910000000000000e+00	1.910000e+00	1.054811e+00	1.054811e-01
1.920000000000000e+00	1.920000e+00	1.063906e+00	1.063906e-01
1.930000000000000e+00	1.930000e+00	1.073003e+00	1.073003e-01
1.940000000000000e+00	1.940000e+00	1.082103e+00	1.082104e-01
1.950000000000000e+00	1.950000e+00	1.091207e+00	1.091207e-01
1.960000000000000e+00	1.960000e+00	1.100313e+00	1.100313e-01
1.970000000000000e+00	1.970000e+00	1.109422e+00	1.109422e-01
1.980000000000000e+00	1.980000e+00	1.118534e+00	1.118534e-01
1.990000000000000e+00	1.990000e+00	1.127648e+00	1.127648e-01
2.000000000000000e+00	2.000000e+00	1.136766e+00	1.136766e-01
2.010000000000000e+00	2.010000e+00	1.145885e+00	1.145885e-01
2.020000000000000e+00	2.020000e+00	1.155008e+00	1.155008e-01
2.030000000000000e+00	2.030000e+00	1.164133e+00	1.164133e-01
2.040000000000000e+00	2.040000e+00	1.173261e+00	1.173261e-01
2.050000000000000e+00	2.050000e+00	1.182391e+00	1.182391e-01
2.060000000000000e+00	2.060000e+00	1.191523e+00	1.191523e-01
2.070000000000000e+00	2.070000e+00	1.200658e+00	1.200658e-01
2.080000000000000e+00	2.080000e+00	1.209796e+00	1.209796e-01
2.090000000000000e+00	2.090000e+00	1.218936e+00	1.218936e-01
2.100000000000000e+00	2.100000e+00	1.228078e+00	1.228078e-01
2.110000000000000e+00	2.110000e+00	1.237222e+00	1.237222e-01
2.120000000000000e+00	2.120000e+00	1.246369e+00	1.246369e-01
2.130000000000000e+00	2.130000e+00	1.255518e+00	1.255518e-01
2.140000000000000e+00	2.140000e+00	1.264669e+00	1.264669e-01
2.150000000000000e+00	2.150000e+00	1.273822e+00	1.273822e-01
2.160000000000000e+00	2.160000e+00	1.282978e+00	1.282978e-01
2.170000000000000e+00	2.170000e+00	1.292135e+00	1.292135e-01
2.180000000000000e+00	2.180000e+00	1.301295e+00	1.301295e-01
2.190000000000000e+00	2.190000e+00	1.310457e+00	1.310457e-01
2.200000000000000e+00	2.200000e+00	1.319620e+00	1.319620e-01
2.210000000000000e+00	2.210000e+00	1.328786e+00	1.328786e-01
2.220000000000000e+00	2.220000e+00	1.337954e+00	1.337954e-01
2.230000000000000e+00	2.230000e+00	1.347123e+00	1.347123e-01
2.240000000000000e+00	2.240000e+00	1.356295e+00	1.356295e-01
2.250000000000000e+00	2.250000e+00	1.365469e+00	1.365469e-01
2.260000000000000e+00	2.260000e+00	1.374644e+00	1.374644e-01
2.270000000000000e+00	2.270000e+00	1.383821e+00	1.383821e-01
2.280000000000000e+00	2.280000e+00	1.393000e+00	1.393000e-01
2.290000000000000e+00	2.290000e+00	1.402181e+00	1.402181e-01
2.300000000000000e+00	2.300000e+00	1.411363e+00	1.411363e-01
2.310000000000000e+00	2.310000e+00	1.420548e+00	1.420548e-01
2.320000000000000e+00	2.320000e+00	1.429734e+00	1.429734e-01
2.330000000000000e+00	2.330000e+00	1.438922e+00	1.438922e-01
2.340000000000000e+00	2.340000e+00	1.448111e+00	1.448112e-01
2.350000000000000e+00	2.350000e+00	1.457303e+00	1.457303e-01
