Vdd	V(vdd)	V(vin)	I(Vdd)	I(Vin)	Ib(M1)	Id(M1)	Ig(M1)	Is(M1)
Step Information: Vin=0  (Step: 1/51)
3.500000000000000e+00	3.500000e+00	2.000000e-01	-4.000070e-07	0.000000e+00	-3.510000e-12	4.000070e-07	0.000000e+00	-4.000035e-07
3.600000000000000e+00	3.600000e+00	2.000000e-01	-4.000072e-07	0.000000e+00	-3.610000e-12	4.000072e-07	0.000000e+00	-4.000036e-07
3.700000000000000e+00	3.700000e+00	2.000000e-01	-4.000074e-07	0.000000e+00	-3.710000e-12	4.000074e-07	0.000000e+00	-4.000037e-07
3.800000000000000e+00	3.800000e+00	2.000000e-01	-4.000076e-07	0.000000e+00	-3.810000e-12	4.000076e-07	0.000000e+00	-4.000038e-07
3.900000000000000e+00	3.900000e+00	2.000000e-01	-4.000078e-07	0.000000e+00	-3.910000e-12	4.000078e-07	0.000000e+00	-4.000039e-07
4.000000000000000e+00	4.000000e+00	2.000000e-01	-4.000080e-07	0.000000e+00	-4.010000e-12	4.000080e-07	0.000000e+00	-4.000040e-07
4.100000000000001e+00	4.100000e+00	2.000000e-01	-4.000082e-07	0.000000e+00	-4.110000e-12	4.000082e-07	0.000000e+00	-4.000041e-07
4.200000000000000e+00	4.200000e+00	2.000000e-01	-4.000084e-07	0.000000e+00	-4.210000e-12	4.000084e-07	0.000000e+00	-4.000042e-07
4.300000000000000e+00	4.300000e+00	2.000000e-01	-4.000086e-07	0.000000e+00	-4.310000e-12	4.000086e-07	0.000000e+00	-4.000043e-07
4.400000000000000e+00	4.400000e+00	2.000000e-01	-4.000088e-07	0.000000e+00	-4.410000e-12	4.000088e-07	0.000000e+00	-4.000044e-07
4.500000000000000e+00	4.500000e+00	2.000000e-01	-4.000090e-07	0.000000e+00	-4.510000e-12	4.000090e-07	0.000000e+00	-4.000045e-07
4.600000000000001e+00	4.600000e+00	2.000000e-01	-4.000092e-07	0.000000e+00	-4.610000e-12	4.000092e-07	0.000000e+00	-4.000046e-07
4.700000000000000e+00	4.700000e+00	2.000000e-01	-4.000094e-07	0.000000e+00	-4.710000e-12	4.000094e-07	0.000000e+00	-4.000047e-07
4.800000000000001e+00	4.800000e+00	2.000000e-01	-4.000096e-07	0.000000e+00	-4.810000e-12	4.000096e-07	0.000000e+00	-4.000048e-07
4.900000000000000e+00	4.900000e+00	2.000000e-01	-4.000098e-07	0.000000e+00	-4.910000e-12	4.000098e-07	0.000000e+00	-4.000049e-07
5.000000000000000e+00	5.000000e+00	2.000000e-01	-4.000100e-07	0.000000e+00	-5.010000e-12	4.000100e-07	0.000000e+00	-4.000050e-07
5.100000000000001e+00	5.100000e+00	2.000000e-01	-4.000102e-07	0.000000e+00	-5.110000e-12	4.000102e-07	0.000000e+00	-4.000051e-07
